# Time-averaged data for fix energy_record
# TimeStep v_elapsed f_exchange v_cross_area v_heat_length
0 0 0 52.5861 4.24007
200 0.6 3.81963 52.5861 4.24007
400 1.2 11.272 52.5861 4.24007
600 1.8 14.6784 52.5861 4.24007
800 2.4 17.5376 52.5861 4.24007
1000 3 21.6836 52.5861 4.24007
1200 3.6 25.534 52.5861 4.24007
1400 4.2 30.5554 52.5861 4.24007
1600 4.8 32.4949 52.5861 4.24007
1800 5.4 35.5883 52.5861 4.24007
2000 6 39.8539 52.5861 4.24007
2200 6.6 44.4889 52.5861 4.24007
2400 7.2 48.035 52.5861 4.24007
2600 7.8 51.9006 52.5861 4.24007
2800 8.4 60.2737 52.5861 4.24007
3000 9 62.7248 52.5861 4.24007
3200 9.6 65.3393 52.5861 4.24007
3400 10.2 68.5962 52.5861 4.24007
3600 10.8 72.2938 52.5861 4.24007
3800 11.4 77.9894 52.5861 4.24007
4000 12 83.1841 52.5861 4.24007
4200 12.6 88.6951 52.5861 4.24007
4400 13.2 93.0004 52.5861 4.24007
4600 13.8 97.9606 52.5861 4.24007
4800 14.4 103.012 52.5861 4.24007
5000 15 106.939 52.5861 4.24007
5200 15.6 111.686 52.5861 4.24007
5400 16.2 116.268 52.5861 4.24007
5600 16.8 120.807 52.5861 4.24007
5800 17.4 124.877 52.5861 4.24007
6000 18 128.614 52.5861 4.24007
6200 18.6 131.76 52.5861 4.24007
6400 19.2 136.931 52.5861 4.24007
6600 19.8 138.976 52.5861 4.24007
6800 20.4 141.194 52.5861 4.24007
7000 21 144.76 52.5861 4.24007
7200 21.6 147.919 52.5861 4.24007
7400 22.2 150.871 52.5861 4.24007
7600 22.8 154.29 52.5861 4.24007
7800 23.4 158.42 52.5861 4.24007
8000 24 162.562 52.5861 4.24007
8200 24.6 167.557 52.5861 4.24007
8400 25.2 171.118 52.5861 4.24007
8600 25.8 175.254 52.5861 4.24007
8800 26.4 179.381 52.5861 4.24007
9000 27 181.772 52.5861 4.24007
9200 27.6 184.347 52.5861 4.24007
9400 28.2 190.45 52.5861 4.24007
9600 28.8 193.384 52.5861 4.24007
9800 29.4 196.447 52.5861 4.24007
10000 30 203.262 52.5861 4.24007
